noise_id,noise_filename,source_filename,start_sec,end_sec,sample_rate,duration
noise_69881,BC2026_Train_1160_S01_20230218_013000_noise_00-05.wav,BC2026_Train_1160_S01_20230218_013000.ogg,0,5,32000,5
noise_48425,BC2026_Train_9148_S22_20230915_013000_noise_00-05.wav,BC2026_Train_9148_S22_20230915_013000.ogg,0,5,32000,5
noise_99939,BC2026_Train_7889_S22_20220223_024500_noise_00-05.wav,BC2026_Train_7889_S22_20220223_024500.ogg,0,5,32000,5
noise_47597,BC2026_Train_0559_S01_20211125_023000_noise_00-05.wav,BC2026_Train_0559_S01_20211125_023000.ogg,0,5,32000,5
noise_109278,BC2026_Train_9917_S22_20240201_213000_noise_05-10.wav,BC2026_Train_9917_S22_20240201_213000.ogg,5,10,32000,5
noise_14161,BC2026_Train_8830_S22_20230123_031500_noise_05-10.wav,BC2026_Train_8830_S22_20230123_031500.ogg,5,10,32000,5
noise_102397,BC2026_Train_9087_S22_20230905_020000_noise_00-05.wav,BC2026_Train_9087_S22_20230905_020000.ogg,0,5,32000,5
noise_36137,BC2026_Train_5423_S13_20220315_183000_noise_00-05.wav,BC2026_Train_5423_S13_20220315_183000.ogg,0,5,32000,5
noise_54221,BC2026_Train_10251_S22_20240325_013000_noise_00-05.wav,BC2026_Train_10251_S22_20240325_013000.ogg,0,5,32000,5
noise_126558,BC2026_Train_5664_S13_20220917_203000_noise_05-10.wav,BC2026_Train_5664_S13_20220917_203000.ogg,5,10,32000,5
noise_17388,BC2026_Train_9440_S22_20231106_181500_noise_00-05.wav,BC2026_Train_9440_S22_20231106_181500.ogg,0,5,32000,5
noise_61733,BC2026_Train_3395_S02_20220407_010000_noise_00-05.wav,BC2026_Train_3395_S02_20220407_010000.ogg,0,5,32000,5
noise_112745,BC2026_Train_1041_S01_20230123_194500_noise_00-05.wav,BC2026_Train_1041_S01_20230123_194500.ogg,0,5,32000,5
noise_42570,BC2026_Train_8093_S22_20220905_230000_noise_05-10.wav,BC2026_Train_8093_S22_20220905_230000.ogg,5,10,32000,5
noise_44645,BC2026_Train_4727_S02_20240121_231500_noise_00-05.wav,BC2026_Train_4727_S02_20240121_231500.ogg,0,5,32000,5
noise_17653,BC2026_Train_8008_S22_20220419_193000_noise_05-10.wav,BC2026_Train_8008_S22_20220419_193000.ogg,5,10,32000,5
noise_103465,BC2026_Train_1890_S01_20231119_004500_noise_00-05.wav,BC2026_Train_1890_S01_20231119_004500.ogg,0,5,32000,5
noise_97302,BC2026_Train_7602_S22_20211231_011500_noise_05-10.wav,BC2026_Train_7602_S22_20211231_011500.ogg,5,10,32000,5
noise_123806,BC2026_Train_8877_S22_20230131_234500_noise_00-05.wav,BC2026_Train_8877_S22_20230131_234500.ogg,0,5,32000,5
noise_87666,BC2026_Train_2146_S01_20240114_201500_noise_05-10.wav,BC2026_Train_2146_S01_20240114_201500.ogg,5,10,32000,5
noise_80777,BC2026_Train_5122_S02_20240430_184500_noise_00-05.wav,BC2026_Train_5122_S02_20240430_184500.ogg,0,5,32000,5
noise_107802,BC2026_Train_9119_S22_20230910_040000_noise_05-10.wav,BC2026_Train_9119_S22_20230910_040000.ogg,5,10,32000,5
noise_2064,BC2026_Train_6535_S13_20230926_040000_noise_00-05.wav,BC2026_Train_6535_S13_20230926_040000.ogg,0,5,32000,5
noise_95526,BC2026_Train_2147_S01_20240115_010000_noise_05-10.wav,BC2026_Train_2147_S01_20240115_010000.ogg,5,10,32000,5
noise_4308,BC2026_Train_9351_S22_20231020_221500_noise_00-05.wav,BC2026_Train_9351_S22_20231020_221500.ogg,0,5,32000,5
noise_114305,BC2026_Train_2247_S01_20240207_021500_noise_00-05.wav,BC2026_Train_2247_S01_20240207_021500.ogg,0,5,32000,5
noise_81690,BC2026_Train_2855_S02_20211119_221500_noise_05-10.wav,BC2026_Train_2855_S02_20211119_221500.ogg,5,10,32000,5
noise_71849,BC2026_Train_10186_S22_20240316_020000_noise_00-05.wav,BC2026_Train_10186_S22_20240316_020000.ogg,0,5,32000,5
noise_19860,BC2026_Train_6534_S13_20230926_034500_noise_00-05.wav,BC2026_Train_6534_S13_20230926_034500.ogg,0,5,32000,5
noise_74981,BC2026_Train_3006_S02_20211230_234500_noise_00-05.wav,BC2026_Train_3006_S02_20211230_234500.ogg,0,5,32000,5
noise_97937,BC2026_Train_3555_S02_20220918_040000_noise_00-05.wav,BC2026_Train_3555_S02_20220918_040000.ogg,0,5,32000,5
noise_15204,BC2026_Train_5389_S13_20220306_191500_noise_00-05.wav,BC2026_Train_5389_S13_20220306_191500.ogg,0,5,32000,5
noise_49085,BC2026_Train_3120_S02_20220127_223000_noise_00-05.wav,BC2026_Train_3120_S02_20220127_223000.ogg,0,5,32000,5
noise_38934,BC2026_Train_3180_S02_20220213_193000_noise_05-10.wav,BC2026_Train_3180_S02_20220213_193000.ogg,5,10,32000,5
noise_0264,BC2026_Train_10101_S22_20240301_223000_noise_00-05.wav,BC2026_Train_10101_S22_20240301_223000.ogg,0,5,32000,5
noise_96630,BC2026_Train_5957_S13_20221207_181500_noise_05-10.wav,BC2026_Train_5957_S13_20221207_181500.ogg,5,10,32000,5
noise_120723,BC2026_Train_3260_S02_20220305_010000_noise_05-10.wav,BC2026_Train_3260_S02_20220305_010000.ogg,5,10,32000,5
noise_112181,BC2026_Train_2270_S01_20240213_034500_noise_00-05.wav,BC2026_Train_2270_S01_20240213_034500.ogg,0,5,32000,5
noise_47525,BC2026_Train_9822_S22_20240115_021500_noise_00-05.wav,BC2026_Train_9822_S22_20240115_021500.ogg,0,5,32000,5
noise_38478,BC2026_Train_9193_S22_20230923_201500_noise_05-10.wav,BC2026_Train_9193_S22_20230923_201500.ogg,5,10,32000,5
noise_50898,BC2026_Train_7708_S22_20220121_220000_noise_05-10.wav,BC2026_Train_7708_S22_20220121_220000.ogg,5,10,32000,5
noise_48462,BC2026_Train_5489_S13_20220331_031500_noise_05-10.wav,BC2026_Train_5489_S13_20220331_031500.ogg,5,10,32000,5
noise_59106,BC2026_Train_8274_S22_20221008_034500_noise_05-10.wav,BC2026_Train_8274_S22_20221008_034500.ogg,5,10,32000,5
noise_112458,BC2026_Train_4640_S02_20231231_030000_noise_05-10.wav,BC2026_Train_4640_S02_20231231_030000.ogg,5,10,32000,5
noise_102109,BC2026_Train_0993_S01_20220423_040000_noise_00-05.wav,BC2026_Train_0993_S01_20220423_040000.ogg,0,5,32000,5
noise_12156,BC2026_Train_1087_S01_20230204_024500_noise_00-05.wav,BC2026_Train_1087_S01_20230204_024500.ogg,0,5,32000,5
noise_110789,BC2026_Train_7400_S22_20211124_194500_noise_00-05.wav,BC2026_Train_7400_S22_20211124_194500.ogg,0,5,32000,5
noise_38886,BC2026_Train_3450_S02_20220421_003000_noise_05-10.wav,BC2026_Train_3450_S02_20220421_003000.ogg,5,10,32000,5
noise_83525,BC2026_Train_0592_S01_20211202_223000_noise_00-05.wav,BC2026_Train_0592_S01_20211202_223000.ogg,0,5,32000,5
noise_116222,BC2026_Train_3275_S02_20220308_011500_noise_00-05.wav,BC2026_Train_3275_S02_20220308_011500.ogg,0,5,32000,5
noise_95129,BC2026_Train_7678_S22_20220113_223000_noise_00-05.wav,BC2026_Train_7678_S22_20220113_223000.ogg,0,5,32000,5
noise_8125,BC2026_Train_1060_S01_20230128_233000_noise_05-10.wav,BC2026_Train_1060_S01_20230128_233000.ogg,5,10,32000,5
noise_102698,BC2026_Train_4015_S02_20230121_224500_noise_05-10.wav,BC2026_Train_4015_S02_20230121_224500.ogg,5,10,32000,5
noise_101210,BC2026_Train_4299_S02_20230928_234500_noise_05-10.wav,BC2026_Train_4299_S02_20230928_234500.ogg,5,10,32000,5
noise_104630,BC2026_Train_3363_S02_20220328_233000_noise_05-10.wav,BC2026_Train_3363_S02_20220328_233000.ogg,5,10,32000,5
noise_20892,BC2026_Train_7431_S22_20211130_011500_noise_00-05.wav,BC2026_Train_7431_S22_20211130_011500.ogg,0,5,32000,5
noise_27120,BC2026_Train_3139_S02_20220203_014500_noise_00-05.wav,BC2026_Train_3139_S02_20220203_014500.ogg,0,5,32000,5
noise_38418,BC2026_Train_7735_S22_20220125_203000_noise_05-10.wav,BC2026_Train_7735_S22_20220125_203000.ogg,5,10,32000,5
noise_16524,BC2026_Train_7125_S22_20211004_010000_noise_00-05.wav,BC2026_Train_7125_S22_20211004_010000.ogg,0,5,32000,5
noise_52110,BC2026_Train_4184_S02_20230306_194500_noise_05-10.wav,BC2026_Train_4184_S02_20230306_194500.ogg,5,10,32000,5
noise_10957,BC2026_Train_8026_S22_20220423_001500_noise_05-10.wav,BC2026_Train_8026_S22_20220423_001500.ogg,5,10,32000,5
noise_67758,BC2026_Train_0950_S01_20220414_234500_noise_05-10.wav,BC2026_Train_0950_S01_20220414_234500.ogg,5,10,32000,5
noise_71513,BC2026_Train_7183_S22_20211014_231500_noise_00-05.wav,BC2026_Train_7183_S22_20211014_231500.ogg,0,5,32000,5
noise_12913,BC2026_Train_4286_S02_20230924_234500_noise_05-10.wav,BC2026_Train_4286_S02_20230924_234500.ogg,5,10,32000,5
noise_69654,BC2026_Train_3553_S02_20220918_024500_noise_05-10.wav,BC2026_Train_3553_S02_20220918_024500.ogg,5,10,32000,5
noise_46266,BC2026_Train_9053_S22_20230305_181500_noise_05-10.wav,BC2026_Train_9053_S22_20230305_181500.ogg,5,10,32000,5
noise_41514,BC2026_Train_7679_S22_20220114_030000_noise_05-10.wav,BC2026_Train_7679_S22_20220114_030000.ogg,5,10,32000,5
noise_71106,BC2026_Train_3696_S02_20221024_011500_noise_05-10.wav,BC2026_Train_3696_S02_20221024_011500.ogg,5,10,32000,5
noise_77058,BC2026_Train_5894_S13_20221122_180000_noise_05-10.wav,BC2026_Train_5894_S13_20221122_180000.ogg,5,10,32000,5
noise_102962,BC2026_Train_2754_S02_20211024_210000_noise_05-10.wav,BC2026_Train_2754_S02_20211024_210000.ogg,5,10,32000,5
noise_92622,BC2026_Train_7560_S22_20211224_021500_noise_05-10.wav,BC2026_Train_7560_S22_20211224_021500.ogg,5,10,32000,5
noise_84857,BC2026_Train_4362_S02_20231014_024500_noise_00-05.wav,BC2026_Train_4362_S02_20231014_024500.ogg,0,5,32000,5
noise_52985,BC2026_Train_0954_S01_20220415_183000_noise_00-05.wav,BC2026_Train_0954_S01_20220415_183000.ogg,0,5,32000,5
noise_126041,BC2026_Train_7241_S22_20211025_023000_noise_00-05.wav,BC2026_Train_7241_S22_20211025_023000.ogg,0,5,32000,5
noise_50861,BC2026_Train_9604_S22_20231205_220000_noise_00-05.wav,BC2026_Train_9604_S22_20231205_220000.ogg,0,5,32000,5
noise_31825,BC2026_Train_0937_S01_20220413_031500_noise_05-10.wav,BC2026_Train_0937_S01_20220413_031500.ogg,5,10,32000,5
noise_65933,BC2026_Train_6477_S13_20230907_190000_noise_00-05.wav,BC2026_Train_6477_S13_20230907_190000.ogg,0,5,32000,5
noise_117747,BC2026_Train_5828_S13_20221104_021500_noise_05-10.wav,BC2026_Train_5828_S13_20221104_021500.ogg,5,10,32000,5
noise_108473,BC2026_Train_6821_S13_20231219_193000_noise_00-05.wav,BC2026_Train_6821_S13_20231219_193000.ogg,0,5,32000,5
noise_97049,BC2026_Train_4350_S02_20231011_201500_noise_00-05.wav,BC2026_Train_4350_S02_20231011_201500.ogg,0,5,32000,5
noise_81738,BC2026_Train_6401_S13_20230414_201500_noise_05-10.wav,BC2026_Train_6401_S13_20230414_201500.ogg,5,10,32000,5
noise_58194,BC2026_Train_5803_S13_20221026_034500_noise_05-10.wav,BC2026_Train_5803_S13_20221026_034500.ogg,5,10,32000,5
noise_59874,BC2026_Train_4202_S02_20230904_223000_noise_05-10.wav,BC2026_Train_4202_S02_20230904_223000.ogg,5,10,32000,5
noise_30277,BC2026_Train_3057_S02_20220112_211500_noise_05-10.wav,BC2026_Train_3057_S02_20220112_211500.ogg,5,10,32000,5
noise_112914,BC2026_Train_8855_S22_20230128_181500_noise_05-10.wav,BC2026_Train_8855_S22_20230128_181500.ogg,5,10,32000,5
